ExerciseDate,ExerciseActivityName,ExerciseActiveDuration,ExerciseAverageHeartRate,ExerciseCalories,ExerciseDuration,ExerciseElevationGain,ExerciseSteps,ExerciseSedentaryMinutes,ExerciseLightMinutes,ExerciseFairlyActiveMinutes,ExerciseVeryActiveMinutes,ExerciseOutOfRangeMaxHR,ExerciseOutOfRangeMinHR,ExerciseOutOfRangeMinutes,ExerciseFatBurnMaxHR,ExerciseFatBurnMinHR,ExerciseFatBurnMinutes,ExerciseCardioMaxHR,ExerciseCardioMinHR,ExerciseCardioMinutes,ExercisePeakMaxHR,ExercisePeakMinHR,ExercisePeakMinutes,Speed,Pace,ExerciseDistance,Year,Month,Day,YearMonthDay
2018-10-14 14:01:34,Walk,1535000,95,200,1535000,30.0,1629,4,8,3,10,96,30,10,135,96,16,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,14,2018-10-14
2018-10-14 14:49:20,Walk,1485000,94,203,1485000,40.0,1909,0,10,4,11,96,30,13,135,96,12,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,14,2018-10-14
2018-10-19 21:24:19,Weights,2811000,117,491,2875000,46.000656,1084,0,2,11,34,96,30,5,135,96,34,164,135,9,220,164,0,0.0,0.0,0.0,2018,10,19,2018-10-19
2018-10-20 12:47:56,Walk,973000,100,161,973000,30.0,1534,0,1,2,14,96,30,6,135,96,11,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,20,2018-10-20
2018-10-20 19:42:36,Walk,1587000,98,246,1587000,30.0,2370,0,0,4,23,96,30,8,135,96,19,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,20,2018-10-20
2018-10-21 16:55:44,Walk,1689000,79,191,1689000,80.0,2090,2,12,5,9,96,30,24,135,96,4,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,21,2018-10-21
2018-10-21 17:45:13,Walk,2969000,84,358,2969000,190.0,3623,4,13,11,21,96,30,39,135,96,10,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,21,2018-10-21
2018-10-21 19:36:09,Walk,921000,97,136,921000,30.0,1320,0,0,1,14,96,30,6,135,96,9,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,21,2018-10-21
2018-10-22 21:19:04,Weights,3439000,103,457,3441000,40.0,835,6,7,10,34,96,30,17,135,96,39,164,135,1,220,164,0,0.0,0.0,0.0,2018,10,22,2018-10-22
2018-10-23 21:17:31,Walk,1024000,82,124,1024000,10.0,1023,0,11,1,5,96,30,11,135,96,6,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,23,2018-10-23
2018-10-23 21:29:51,Weights,3465000,116,579,3466000,22.998688,1247,0,3,6,48,96,30,7,135,96,46,164,135,5,220,164,0,0.0,0.0,0.0,2018,10,23,2018-10-23
2018-10-25 21:10:08,Weights,2190000,118,368,2197000,35.0,853,0,4,6,26,96,30,6,135,96,23,164,135,7,220,164,0,0.0,0.0,0.0,2018,10,25,2018-10-25
2018-10-28 14:11:31,Walk,921000,97,130,921000,30.0,1316,0,2,1,12,96,30,6,135,96,9,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,28,2018-10-28
2018-10-28 14:59:48,Run,2102000,162,571,2608000,110.0,5632,0,0,1,34,96,30,0,135,96,1,164,135,12,220,164,21,6.913419790675547,520.7263711738565,4.024825,2018,10,28,2018-10-28
2018-10-31 02:07:12,Walk,1433000,80,198,1433000,50.0,2278,0,1,5,18,96,30,18,135,96,6,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,31,2018-10-31
2018-10-31 14:29:34,Walk,2355000,91,281,2355000,80.0,2464,7,20,2,10,96,30,21,135,96,18,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,31,2018-10-31
2018-11-01 18:06:35,Walk,5580000,88,734,5580000,150.0,7686,6,8,19,60,96,30,59,135,96,34,164,135,0,220,164,0,0.0,0.0,0.0,2018,11,1,2018-11-01
2018-11-02 21:18:04,Weights,3314000,108,482,3324000,36.000656,999,2,3,15,35,96,30,9,135,96,44,164,135,2,220,164,0,0.0,0.0,0.0,2018,11,2,2018-11-02
2018-11-03 19:44:34,Run,1165000,153,328,2096000,103.999344,3010,0,0,0,20,96,30,1,135,96,0,164,135,15,220,164,4,6.099691673819742,590.1937659326987,1.964994,2018,11,3,2018-11-03
2018-11-05 22:26:14,Weights,2677000,109,394,2680000,30.0,1079,0,7,9,28,96,30,12,135,96,30,164,135,2,220,164,0,0.0,0.0,0.0,2018,11,5,2018-11-05
2018-11-06 22:09:48,Walk,2150000,78,259,2150000,50.0,2483,4,16,6,9,96,30,33,135,96,1,164,135,2,220,164,0,0.0,0.0,0.0,2018,11,6,2018-11-06
2018-11-06 22:43:05,Weights,2843000,110,418,2845000,16.000656,1028,8,2,7,30,96,30,13,135,96,25,164,135,8,220,164,0,0.0,0.0,0.0,2018,11,6,2018-11-06
2018-11-08 22:30:08,Weights,2449000,110,396,2546000,35.0,787,0,1,9,30,96,30,8,135,96,30,164,135,3,220,164,0,0.0,0.0,0.0,2018,11,8,2018-11-08
2018-11-10 20:01:12,Run,1895000,158,540,2603000,168.999344,5087,0,0,0,33,96,30,1,135,96,2,164,135,13,220,164,16,6.455727071240106,557.6443923780164,3.387201,2018,11,10,2018-11-10
2018-11-11 15:53:45,Run,2735000,160,734,3198000,211.000656,7332,1,0,0,44,96,30,0,135,96,1,164,135,23,220,164,21,6.636608555758684,542.4457341055962,5.026762,2018,11,11,2018-11-11
2018-11-11 22:52:40,Walk,1331000,77,188,1331000,0.0,2313,0,1,2,19,96,30,19,135,96,3,164,135,0,220,164,0,0.0,0.0,0.0,2018,11,11,2018-11-11
2018-11-12 22:10:38,Walk,922000,106,146,922000,0.0,987,0,0,1,14,96,30,3,135,96,10,164,135,2,220,164,0,0.0,0.0,0.0,2018,11,12,2018-11-12
2018-11-12 22:22:03,Weights,2706000,111,410,2712000,32.998688,1019,2,3,13,27,96,30,11,135,96,31,164,135,3,220,164,0,0.0,0.0,0.0,2018,11,12,2018-11-12
2018-11-14 22:26:54,Weights,2680000,110,403,2682000,37.001312,789,1,2,10,31,96,30,7,135,96,36,164,135,2,220,164,0,0.0,0.0,0.0,2018,11,14,2018-11-14
2018-11-15 22:17:16,Weights,2941000,106,406,2980000,70.0,1288,4,13,8,24,96,30,17,135,96,29,164,135,3,220,164,0,0.0,0.0,0.0,2018,11,15,2018-11-15
2018-11-18 16:06:38,Run,2873000,162,856,3310000,245.0,7664,0,0,0,51,96,30,0,135,96,1,164,135,19,220,164,27,6.5936048729551,545.983580964348,5.239014,2018,11,18,2018-11-18
2018-11-19 22:21:04,Weights,3038000,107,421,3047000,37.001312,830,6,7,8,29,96,30,19,135,96,30,164,135,1,220,164,0,0.0,0.0,0.0,2018,11,19,2018-11-19
2018-11-20 13:27:04,Walk,1433000,91,191,1433000,40.0,1978,1,1,6,15,96,30,15,135,96,8,164,135,0,220,164,0,0.0,0.0,0.0,2018,11,20,2018-11-20
2018-11-21 15:18:42,Walk,1740000,83,220,1740000,120.0,2364,4,3,0,22,96,30,19,135,96,10,164,135,0,220,164,0,0.0,0.0,0.0,2018,11,21,2018-11-21
2018-11-22 14:34:12,Run,1268000,159,336,1615000,112.998688,3383,0,0,0,21,96,30,1,135,96,1,164,135,6,220,164,13,6.595185804416404,545.852703283855,2.318457,2018,11,22,2018-11-22
2018-11-22 20:50:01,Walk,1946000,75,229,1946000,50.0,2401,0,9,8,15,96,30,32,135,96,0,164,135,0,220,164,0,0.0,0.0,0.0,2018,11,22,2018-11-22
2018-11-23 20:25:55,Walk,1433000,79,178,1433000,40.0,2019,0,5,4,15,96,30,24,135,96,0,164,135,0,220,164,0,0.0,0.0,0.0,2018,11,23,2018-11-23
2018-11-24 17:44:26,Walk,3686000,76,405,3686000,50.0,4227,6,21,12,22,96,30,55,135,96,6,164,135,0,220,164,0,0.0,0.0,0.0,2018,11,24,2018-11-24
2018-11-25 17:08:24,Walk,1536000,97,230,1536000,20.0,2675,0,0,1,24,96,30,9,135,96,16,164,135,0,220,164,0,0.0,0.0,0.0,2018,11,25,2018-11-25
2018-11-25 17:37:09,Tennis,2070000,130,411,2072000,6.000656,1894,0,0,0,34,96,30,0,135,96,23,164,135,11,220,164,0,1.300761739130435,0.0,0.747936,2018,11,25,2018-11-25
2018-11-25 18:13:14,Walk,4914000,90,708,4914000,190.0,8380,0,0,13,68,96,30,57,135,96,25,164,135,0,220,164,0,0.0,0.0,0.0,2018,11,25,2018-11-25
2018-11-27 22:20:26,Weights,2870000,122,523,2873000,35.0,1147,0,0,6,42,96,30,0,135,96,36,164,135,11,220,164,1,0.0,0.0,0.0,2018,11,27,2018-11-27
