Date,RestingBPM
2019-04-01,46.12769889831543
2019-04-02,46.498985290527344
2019-04-03,46.19357395172119
2019-04-04,46.019134521484375
2019-04-05,45.91896057128906
2019-04-07,45.858614921569824
2019-04-08,46.864112854003906
2019-04-09,46.40321731567383
2019-04-10,46.13973426818848
2019-04-11,45.477017402648926
2019-04-12,45.606892585754395
2019-04-13,46.703871726989746
2019-04-14,47.846550941467285
2019-04-15,47.99341583251953
2019-04-16,47.05582618713379
2019-04-17,46.515957832336426
2019-04-18,47.22725009918213
2019-04-19,47.12574100494385
2019-04-20,48.60051918029785
2019-04-21,48.427555084228516
2019-04-22,48.83903694152832
2019-04-23,48.053818702697754
2019-04-24,47.090609550476074
2019-04-25,46.53598690032959
2019-04-26,46.216630935668945
2019-04-27,46.03274345397949
