Date,BELOW_DEFAULT_ZONE_1,IN_DEFAULT_ZONE_1,IN_DEFAULT_ZONE_2,IN_DEFAULT_ZONE_3
2019-04-16,1074.0,36.0,4.0,0.0
2019-04-17,1353.0,12.0,0.0,0.0
2019-04-18,1231.0,12.0,0.0,0.0
2019-04-19,1341.0,21.0,41.0,12.0
2019-04-20,1329.0,11.0,0.0,0.0
2019-04-21,1113.0,16.0,37.0,7.0
2019-04-22,1274.0,11.0,0.0,0.0
2019-04-23,1252.0,42.0,6.0,0.0
2019-04-24,1355.0,9.0,0.0,0.0
2019-04-25,1291.0,43.0,2.0,0.0
2019-04-26,1323.0,55.0,4.0,0.0
2019-04-27,933.0,60.0,28.0,8.0
2019-04-28,1177.0,16.0,0.0,0.0
2019-04-29,1226.0,58.0,9.0,3.0
2019-04-30,1050.0,20.0,0.0,0.0
2019-05-01,1062.0,3.0,0.0,0.0
2019-05-02,1049.0,45.0,8.0,0.0
2019-05-03,1245.0,23.0,1.0,0.0
2019-05-04,1139.0,58.0,0.0,0.0
2019-05-05,1334.0,29.0,0.0,0.0
2019-05-06,1090.0,44.0,30.0,0.0
2019-05-07,1194.0,73.0,3.0,0.0
2019-05-08,1255.0,24.0,0.0,0.0
2019-05-09,1222.0,0.0,0.0,0.0
2019-05-10,1177.0,28.0,0.0,0.0
2019-05-11,1230.0,33.0,48.0,1.0
2019-05-12,1358.0,0.0,0.0,0.0
2019-05-13,1172.0,25.0,0.0,0.0
2019-05-14,1434.0,0.0,0.0,0.0
2019-05-15,1069.0,51.0,6.0,0.0
2019-05-16,1141.0,42.0,1.0,0.0
2019-05-17,1350.0,20.0,0.0,0.0
2019-05-18,1244.0,44.0,2.0,0.0
2019-05-19,1018.0,31.0,44.0,7.0
2019-05-20,1078.0,43.0,10.0,0.0
2019-05-21,1225.0,0.0,0.0,0.0
2019-05-22,1051.0,41.0,3.0,0.0
2019-06-13,483.0,0.0,0.0,0.0
2019-06-14,1198.0,58.0,7.0,6.0
2019-06-15,1309.0,45.0,48.0,19.0
2019-06-16,1267.0,49.0,0.0,0.0
2019-06-17,1181.0,2.0,0.0,0.0
2019-06-18,1094.0,40.0,17.0,3.0
2019-06-19,1347.0,35.0,0.0,0.0
2019-06-20,1315.0,37.0,0.0,0.0
2019-06-21,1305.0,21.0,0.0,0.0
2019-06-22,1346.0,45.0,0.0,0.0
2019-06-23,1156.0,18.0,42.0,6.0
2019-06-24,1132.0,47.0,0.0,0.0
2019-06-25,1178.0,30.0,24.0,0.0
2019-06-26,1264.0,28.0,13.0,0.0
2019-06-27,1362.0,6.0,0.0,0.0
2019-06-28,1405.0,0.0,0.0,0.0
2019-06-29,1285.0,27.0,0.0,0.0
2019-06-30,1232.0,84.0,2.0,0.0
2019-07-01,1315.0,29.0,13.0,5.0
2019-07-02,1360.0,15.0,3.0,0.0
2019-07-03,1324.0,34.0,7.0,0.0
2019-07-04,1165.0,0.0,0.0,0.0
2019-07-05,1338.0,30.0,0.0,0.0
2019-07-06,1308.0,46.0,33.0,14.0
2019-07-07,1205.0,56.0,38.0,9.0
2019-07-08,1341.0,37.0,9.0,4.0
2019-07-09,1346.0,7.0,0.0,0.0
2019-07-10,1357.0,20.0,0.0,0.0
2019-07-11,1423.0,0.0,0.0,0.0
2019-07-12,1151.0,19.0,19.0,14.0
2019-07-13,1128.0,96.0,8.0,0.0
2019-07-14,1383.0,16.0,0.0,0.0
2019-07-15,1326.0,46.0,10.0,0.0
2019-07-16,1340.0,1.0,0.0,0.0
2019-07-17,1309.0,27.0,25.0,9.0
2019-07-18,1369.0,0.0,0.0,0.0
2019-07-19,1180.0,34.0,8.0,0.0
2019-07-20,1242.0,48.0,12.0,2.0
2019-07-21,1372.0,4.0,0.0,0.0
2019-07-22,1292.0,46.0,3.0,0.0
2019-07-23,1342.0,15.0,1.0,0.0
2019-07-24,1304.0,39.0,10.0,10.0
2019-07-25,1028.0,10.0,33.0,4.0
2019-07-26,1178.0,4.0,0.0,0.0
2019-07-27,1231.0,62.0,26.0,28.0
2019-07-28,1347.0,5.0,0.0,0.0
2019-07-29,1257.0,29.0,33.0,6.0
2019-07-30,1147.0,3.0,0.0,0.0
2019-07-31,1291.0,39.0,1.0,3.0
2019-08-01,1325.0,35.0,10.0,5.0
2019-08-02,1356.0,43.0,11.0,1.0
2019-08-03,1321.0,24.0,2.0,0.0
2019-08-04,973.0,115.0,3.0,0.0
2019-08-05,1307.0,47.0,6.0,2.0
2019-08-06,1186.0,133.0,44.0,6.0
2019-08-07,1321.0,36.0,0.0,0.0
2019-08-08,1333.0,21.0,0.0,0.0
2019-08-09,1038.0,23.0,0.0,0.0
2019-08-10,1259.0,4.0,0.0,0.0
2019-08-11,1165.0,38.0,8.0,6.0
2019-08-12,1357.0,18.0,0.0,0.0
2019-08-13,1329.0,52.0,4.0,1.0
2019-08-14,1324.0,57.0,9.0,0.0
2019-08-15,1271.0,23.0,0.0,0.0
2019-08-16,1348.0,19.0,0.0,0.0
2019-08-17,1312.0,9.0,0.0,0.0
2019-08-18,1222.0,31.0,28.0,13.0
2019-08-19,1323.0,53.0,22.0,0.0
2019-08-20,1373.0,11.0,0.0,0.0
2019-08-21,1331.0,38.0,22.0,2.0
2019-08-22,1052.0,43.0,10.0,10.0
2019-08-23,1376.0,6.0,0.0,0.0
2019-08-24,1373.0,28.0,2.0,0.0
2019-08-25,1336.0,54.0,22.0,10.0
2019-08-26,1213.0,33.0,25.0,11.0
2019-08-27,1356.0,44.0,19.0,12.0
2019-08-28,1387.0,13.0,0.0,0.0
2019-08-29,1319.0,28.0,23.0,10.0
2019-08-30,1395.0,0.0,0.0,0.0
2019-08-31,1367.0,31.0,8.0,0.0
2019-09-01,1207.0,6.0,14.0,20.0
2019-09-02,1279.0,29.0,25.0,7.0
2019-09-03,1381.0,0.0,0.0,0.0
2019-09-04,1329.0,44.0,22.0,0.0
2019-09-05,774.0,0.0,0.0,0.0
