Date,BPM
2019-03-29,53.684588235294115
2019-03-30,61.324710424710425
2019-03-31,67.15925744992673
2019-04-01,60.35643882579816
2019-04-02,52.39755490151687
2019-04-03,59.57810348219555
2019-04-04,51.801649426894045
2019-04-05,54.823522028367016
2019-04-06,97.48669825072886
2019-04-07,55.35766997933681
2019-04-08,65.58762428977273
2019-04-09,61.72281866094085
2019-04-10,52.28937728937729
2019-04-11,61.30822596630327
2019-04-12,51.199950230185394
2019-04-13,65.10566173818968
2019-04-14,53.66279311060386
2019-04-15,62.387363420427555
2019-04-16,60.36229795119942
2019-04-17,53.318827930174564
2019-04-18,53.41590536425392
2019-04-19,73.41509968817915
2019-04-20,54.30691975494627
2019-04-21,64.77662337662338
2019-04-22,55.65256797583081
2019-04-23,61.83265607683783
